item_id,vertical,category,domain,score
596811118,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.857
573718344,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.2616
578028726,APP & SPORTS,SPORTS,MLC-ROLLER_SKATES,0.299
610589871,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.498
562625312,ACC,AUTOPARTS,MLC-CARS_AND_VANS_COVERS,0.9178
453733796,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WRENCH_SETS,0.2483999999999999
596448619,CE,ELECTRONICS,MLC-CAMERA_LENSES,0.1672
555222068,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.4038
901129914,APP & SPORTS,APPAREL,MLC-SWEATSHIRTS_AND_HOODIES,0.6894
513867010,CE,ELECTRONICS,MLC-FANS,0.6652
538702086,CE,ELECTRONICS,MLC-TOASTERS,0.6664
550760095,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.9664
456911545,HOME & INDUSTRY,STATIONARY,MLC-PENCILS,0.8944
634351743,CE,MOBILE,MLC-CELLPHONES,0.6914
584793142,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-PAINT_MIXERS,0.6364
453315876,T & B,TOYS AND GAMES,MLC-TOYS_AND_GAMES,0.2546
583034727,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.2632
554200961,ENTERTAINMENT,MUSICAL INSTRUMENTS,MLC-ACOUSTIC_GUITARS,0.4784
555222072,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.4864
916994577,CE,MOBILE,MLC-CELLPHONES,0.6852
603320451,CE,ELECTRONICS,MLC-BLENDERS,0.847
632021072,CE,COMPUTERS,MLC-ALL_IN_ONE,0.4634
454770222,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.9722
586695634,CE,COMPUTERS,MLC-PRINTERS,0.2947999999999999
549186918,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.3558
537767232,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.5556
574311224,CE,ELECTRONICS,MLC-PHOTOGRAPHIC_INSTANT_FILMS,0.3047999999999999
571598250,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9384
536941597,T & B,BABY,MLC-POTTIES,0.4596
538870128,BEAUTY & HEALTH,PERSONAL CARE,MLC-PERFUMES,0.5105999999999999
591354113,T & B,PARTY,MLC-BALLOONS,0.853
912253649,CE,COMPUTERS,MLC-NOTEBOOKS,0.675
526571408,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.3129999999999999
613172113,CE,ELECTRONICS,MLC-GAMEPADS_AND_JOYSTICKS,0.5976
476369914,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_MONITORING_KITS,0.8924
536048413,CE,ELECTRONICS,MLC-HAIR_DRYERS,0.5718
622113909,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-DRILL_BITS,0.5292
566362328,ACC,AUTOPARTS,MLC-VEHICLE_PARTS,0.1652
595482704,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_OFFICE_DESKS,0.7001999999999999
624262604,HOME & INDUSTRY,HOME&DECOR,MLC-SOFA_AND_FUTON_COVERS,0.8832
908510601,CE,MOBILE,MLC-CELLPHONES,0.9988
550457135,CE,ELECTRONICS,MLC-GAMEPADS_AND_JOYSTICKS,0.1762
600063592,ACC,VEHICULAR MULTIMEDIA,MLC-AUTOMOTIVE_AMPLIFIERS,0.5504
622081441,APP & SPORTS,SPORTS,MLC-AEROBIC_CRUNCH_MACHINES,0.951
628753992,CE,COMPUTERS,MLC-MOUSE_PADS,0.2944
522468135,BEAUTY & HEALTH,PERSONAL CARE,MLC-EYELASH_EXTENSIONS,0.5428
638627148,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.0308
516335245,HOME & INDUSTRY,HOME&DECOR,MLC-CHRISTMAS_LIGHTS,0.3895999999999999
605166116,ACC,WHEELS & TIRES,MLC-AUTOMOTIVE_TIRES,0.0884
572588709,APP & SPORTS,APPAREL,MLC-T_SHIRTS,0.1415999999999999
918000959,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.726
512713803,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.6656
572989505,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.9164
553931171,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.2239999999999999
434703556,BEAUTY & HEALTH,PERSONAL CARE,MLC-WAX_WARMERS,0.6606
596513527,CE,MOBILE,MLC-TABLETS,0.6073999999999999
452533290,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-BATHROOM_GRAB_BARS,0.9066
908746162,APP & SPORTS,SPORTS,MLC-STATIONARY_BICYCLES,0.9678
597811789,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-SANDER_MACHINES,0.0739999999999999
454741652,HOME & INDUSTRY,HOME&DECOR,MLC-DOOR_AND_WINDOW_AWNINGS_AND_EAVES,0.8544
911145200,CE,MOBILE,MLC-CELLPHONES,0.868
500300514,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.6696
599657396,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.4831999999999999
916378186,HOME & INDUSTRY,HOME&DECOR,MLC-WATER_DISPENSERS,0.4082
582659171,OTHERS,OTHER,MLC-VIBRATORS,0.3244
920371320,T & B,BABY,MLC-POTTIES,0.3322
632383659,HOME & INDUSTRY,HOME&DECOR,MLC-STOOLS,0.1186
609246385,CE,COMPUTERS,MLC-COMPUTER_MONITORS,0.9082
616650659,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-ULTRASONIC_CAVITATION_MACHINES,0.124
926299046,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-SOLAR_KITS,0.2598
575407234,CE,COMPUTERS,MLC-PRINTERS,0.3783999999999999
612096738,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.5933999999999999
626146132,CE,ELECTRONICS,MLC-AUDIO_AMPLIFIERS,0.4014
609179843,CE,COMPUTERS,MLC-HEADPHONES,0.8994
600001568,ACC,WHEELS & TIRES,MLC-AUTOMOTIVE_TIRES,0.6896
453293585,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_PUMPS,0.6744
550721407,CPG,PERSONAL HYGIENE,MLC-WET_BABY_WIPES,0.2468
641393354,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BLOOD_GLUCOSE_METERS,0.1066
927172054,CE,MOBILE,MLC-CELLPHONES,0.2804
924923571,APP & SPORTS,SPORTS,MLC-FOOTBALL_SHIRTS,0.2845999999999999
574645617,APP & SPORTS,SPORTS,MLC-GYMNASTIC_KNEE_PADS,0.1433999999999999
529675856,APP & SPORTS,SPORTS,MLC-PILATES_BALLS,0.0125999999999999
610872782,CE,ELECTRONICS,MLC-MEMORY_CARDS,0.358
535967388,BEAUTY & HEALTH,PERSONAL CARE,MLC-MAKEUP_SETS,0.5096
591343185,CE,COMPUTERS,MLC-PRINTER_INKS,0.562
545716988,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-METAL_DETECTORS,0.355
614672835,CE,ELECTRONICS,MLC-HAIR_CLIPPERS,0.3915999999999999
640029034,HOME & INDUSTRY,HOME&DECOR,MLC-BOX_SPRING_AND_MATTRESS_SETS,0.766
605373047,CE,ELECTRONICS,MLC-STREAMING_MEDIA_DEVICES,0.9916
611221082,CE,MOBILE,MLC-CELLPHONES,0.3124
553413507,CE,ELECTRONICS,MLC-MINI_COMPONENT_SYSTEMS,0.511
639576977,CE,COMPUTERS,MLC-NOTEBOOKS,0.0889999999999999
920562625,BEAUTY & HEALTH,PERSONAL CARE,MLC-BODY_SKIN_CARE_PRODUCTS,0.9234
629257700,CE,MOBILE,MLC-CELLPHONES,0.3106
518422369,HOME & INDUSTRY,HOME&DECOR,MLC-GARDEN_AND_OUTDOOR_SUPPLIES,0.1366
550374747,HOME & INDUSTRY,HOME&DECOR,MLC-WATER_DISPENSERS,0.2294
902542213,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.8914
514569754,T & B,TOYS AND GAMES,MLC-ELECTRIC_SCOOTERS,0.5402
568600040,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_GROWING_TENTS,0.2433999999999999
599608842,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-PERMANENT_EPILATORS,0.3955999999999999
596930575,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.1518
576184363,HOME & INDUSTRY,HOME&DECOR,MLC-PATIO_FURNITURE_SETS,0.6056
508820159,APP & SPORTS,FOOTWEAR,MLC-SANDALS_AND_FLIP_FLOPS,0.2159999999999999
921044859,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.2158
566527729,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.7236
915982530,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.3873999999999999
917519494,CE,MOBILE,MLC-SMARTWATCHES,0.8064
536048431,CE,ELECTRONICS,MLC-MICROWAVES,0.4272
909116938,CE,MOBILE,MLC-TABLETS,0.9354
570777503,T & B,TOYS AND GAMES,MLC-FOOSBALL_TABLES,0.6576
513867125,APP & SPORTS,SPORTS,MLC-KAYAKS,0.6168
611219787,CE,COMPUTERS,MLC-NOTEBOOKS,0.5184
576536508,HOME & INDUSTRY,STATIONARY,MLC-COIL_BINDING_MACHINES,0.3409999999999999
458161185,CE,COMPUTERS,MLC-INK_CARTRIDGES,0.5768
609925409,BEAUTY & HEALTH,PHARMACEUTICS,MLC-GAUZES,0.3086
901472725,OTHERS,PET PRODUCTS,MLC-FLEA_AND_TICK_TREATMENTS,0.6198
473566957,CE,ELECTRONICS,MLC-REFRIGERATORS,0.9508
536838194,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_DRILLS,0.0806
611219769,CE,COMPUTERS,MLC-NOTEBOOKS,0.8294
569076855,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-POWER_INVERTERS,0.3456
514987393,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.6404
550745575,CE,COMPUTERS,MLC-PRINTERS,0.7021999999999999
613190328,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.9428
578025919,HOME & INDUSTRY,HOME&DECOR,MLC-HOT_TUBS,0.0051999999999999
464511001,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BODYWEIGHT_SCALES,0.4556
536048374,CE,ELECTRONICS,MLC-VACUUM_CLEANERS,0.5422
553174580,CPG,FOODS,MLC-DRIED_FRUITS,0.4791999999999999
575361631,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-HAND_TRUCKS,0.123
532752528,OTHERS,ANTIQUES & HOBBIES,MLC-RESINS,0.4384
546917984,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PAINT_SPRAYERS,0.424
612209258,BEAUTY & HEALTH,PERSONAL CARE,MLC-MANICURE_AND_PEDICURE_SUPPLIES,0.6816
551979433,CE,ELECTRONICS,MLC-VIDEO_CAMERAS,0.4931999999999999
553624392,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-BATHROOM_VANITIES,0.0462
907692927,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.0292
534768502,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-MASSAGE_SOFAS,0.6252
559777553,T & B,PARTY,MLC-CARDS_AND_INVITATIONS,0.0504
572956722,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CIRCULAR_SAWS,0.721
635638958,CE,MOBILE,MLC-CELLPHONES,0.687
907369693,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-OPTICAL_LEVELS,0.9154
521460770,CE,ELECTRONICS,MLC-WALKIE_TALKIES,0.9662
627824546,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.5344
915029678,HOME & INDUSTRY,HOME&DECOR,MLC-MATTRESSES,0.5836
923629131,APP & SPORTS,APPAREL,MLC-JACKETS_AND_COATS,0.2279999999999999
921624198,CE,COMPUTERS,MLC-SPEAKERS,0.2126
592971189,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-CENTRIFUGAL_PUMPS,0.391
502082227,HOME & INDUSTRY,HOME&DECOR,MLC-CHRISTMAS_LIGHTS,0.7822
454921917,HOME & INDUSTRY,INDUSTRY,MLC-LAMINATORS,0.3366
565311878,BEAUTY & HEALTH,PHARMACEUTICS,MLC-SURGICAL_AND_INDUSTRIAL_MASKS,0.3748
908623582,CE,COMPUTERS,MLC-HEADPHONES,0.572
907696631,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_FURNITURE,0.4804
590766317,CPG,FOODS,MLC-COFFEE_CAPSULES,0.814
526565069,HOME & INDUSTRY,HOME&DECOR,MLC-KITCHEN_CABINET_ORGANIZERS,0.2228
526151827,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CIRCULAR_SAWS,0.1555999999999999
471928179,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.642
901447054,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.6376
519390281,CE,ELECTRONICS,MLC-HOME_THEATERS,0.297
912426003,APP & SPORTS,SPORTS,MLC-GYM_DUMBBELLS,0.4534
922869496,T & B,PARTY,MLC-PARTY_MASKS,0.6506
900687065,CE,MOBILE,MLC-CELLPHONES,0.8822
633606139,BEAUTY & HEALTH,PERSONAL CARE,MLC-HAND_AND_FOOT_CREAMS,0.5342
641587758,CE,MOBILE,MLC-SMARTWATCHES,0.4916
610351059,CE,COMPUTERS,MLC-NOTEBOOKS,0.4576
636872901,APP & SPORTS,FOOTWEAR,MLC-SANDALS_AND_FLIP_FLOPS,0.2338
581827133,CPG,CLEANING,MLC-KITCHEN_PAPER_TOWELS,0.5972
578702959,APP & SPORTS,APPAREL,MLC-UNDERPANTS,0.1308
436392424,CE,ELECTRONICS,MLC-REFRIGERATORS,0.6828
611518683,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.4276
921647708,T & B,TOYS AND GAMES,MLC-COSTUMES,0.9074
519734820,ACC,WHEELS & TIRES,MLC-AUTOMOTIVE_TIRES,0.0686
572998440,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_PRESSURE_WASHERS,0.4711999999999999
906341714,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.3578
623706157,T & B,TOYS AND GAMES,MLC-KICK_SCOOTERS,0.7974
642332398,APP & SPORTS,SUPLEMENTS,MLC-SUPPLEMENTS,0.0654
511437193,HOME & INDUSTRY,HOME&DECOR,MLC-TV_STORAGE_UNITS,0.413
621815612,CE,COMPUTERS,MLC-MICROPHONES,0.6612
612247513,CE,MOBILE,MLC-CELLPHONES,0.937
579762103,CE,ELECTRONICS,MLC-DISHWASHERS,0.5454
617223991,OTHERS,PET PRODUCTS,MLC-FLEA_AND_TICK_TREATMENTS,0.3848
529128774,CE,ELECTRONICS,MLC-STEAM_CLEANERS,0.1258
469002577,BEAUTY & HEALTH,PERSONAL CARE,MLC-SKIN_CARE_SUPPLIES,0.9136
566801729,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-MEDICAL_EQUIPMENT,0.8896
915465921,CE,COMPUTERS,MLC-COMPUTER_MONITORS,0.5888
555017517,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_SCREWDRIVERS,0.4874
542069814,CE,MOBILE,MLC-CELLPHONES,0.912
903180344,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-WELDING_MACHINES,0.1071999999999999
920403573,HOME & INDUSTRY,HOME&DECOR,MLC-KITCHEN_SUPPLIES,0.1153999999999999
920095383,CE,COMPUTERS,MLC-NOTEBOOKS,0.3012
533227132,CE,COMPUTERS,MLC-PRINTERS,0.7444
590578109,BEAUTY & HEALTH,PHARMACEUTICS,MLC-ORTHOPEDICS,0.4224
599589664,APP & SPORTS,APPAREL,MLC-BABY_BODYSUITS,0.478
908498834,CE,MOBILE,MLC-CELLPHONES,0.9962
582451783,APP & SPORTS,APPAREL,MLC-JACKETS_AND_COATS,0.1008
610944588,BEAUTY & HEALTH,PHARMACEUTICS,MLC-HEARING_AIDS,0.5232
575105047,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.8702
910778718,CE,COMPUTERS,MLC-WEBCAMS,0.6366
613010453,CE,MOBILE,MLC-CELLPHONES,0.7316
552552539,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_STAPLERS_AND_BRAD_NAILERS,0.0118
612056701,CPG,PERSONAL HYGIENE,MLC-TOOTHBRUSHES,0.2655999999999999
638311059,CE,ELECTRONICS,MLC-REFRIGERATORS,0.4731999999999999
918184634,HOME & INDUSTRY,INDUSTRY,MLC-OFFICE_CHAIRS,0.8026
638258094,CE,ELECTRONICS,MLC-BLENDERS,0.429
638626768,CE,COMPUTERS,MLC-PRINTERS,0.5589999999999999
531464489,OTHERS,PET PRODUCTS,MLC-ANIMAL_CLIPPERS,0.4344
624219378,CE,MOBILE,MLC-CELLPHONES,0.528
538282935,HOME & INDUSTRY,HOME&DECOR,MLC-POOL_CLEANERS,0.8384
610592535,APP & SPORTS,SPORTS,MLC-AIRSOFT_GUNS,0.1812
909116880,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-HAMMER_DRILLS,0.1956
916456890,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-TOOL_AND_CONSTRUCTION_SUPPLIES,0.6016
641988099,CE,MOBILE,MLC-CELLPHONES,0.2022
919126373,OTHERS,PET PRODUCTS,MLC-FLEA_AND_TICK_TREATMENTS,0.1443999999999999
911348431,OTHERS,PET PRODUCTS,MLC-CAT_LITTER_BOXES,0.0689999999999999
569476490,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-BATHROOM_GRAB_BARS,0.0265999999999999
601970228,BEAUTY & HEALTH,BEAUTY EQUIPMENT,MLC-BODYWEIGHT_SCALES,0.0455999999999999
619197548,CE,COMPUTERS,MLC-PRINTERS,0.9162
546941513,CPG,CLEANING,MLC-LAUNDRY_DETERGENTS,0.8622
555014109,HOME & INDUSTRY,HOME&DECOR,MLC-MATTRESS_COVERS,0.2937999999999999
457786416,APP & SPORTS,SPORTS,MLC-BICYCLE_ACCESSORIES_AND_SPARE_PARTS,0.0372
579605240,CE,MOBILE,MLC-CELLPHONES,0.3772
617238806,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.4644
908371604,CE,ELECTRONICS,MLC-TV_REMOTE_CONTROLS,0.3531999999999999
562065068,CE,ELECTRONICS,MLC-SMART_SPEAKERS,0.0585999999999999
925556749,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9626
639380398,CE,MOBILE,MLC-SMARTWATCHES,0.765
549138466,CPG,CLEANING,MLC-KITCHEN_PAPER_TOWELS,0.4828
614989538,HOME & INDUSTRY,STATIONARY,MLC-COIL_BINDING_MACHINES,0.574
927473257,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.6628
593987748,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_CURTAINS_AND_BLINDS,0.495
902574250,BEAUTY & HEALTH,PERSONAL CARE,MLC-GEL_NAIL_KITS,0.3528
917156955,CE,ELECTRONICS,MLC-ROBOT_VACUUMS,0.9172
627968639,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.9966
610331500,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-BATHROOM_VANITIES,0.0333999999999999
539774662,ACC,AUTOPARTS,MLC-VEHICLE_ACCESSORIES,0.3368
622414316,BEAUTY & HEALTH,PERSONAL CARE,MLC-SKIN_CARE_SUPPLIES,0.6144
559288551,HOME & INDUSTRY,HOME&DECOR,MLC-INDOOR_CURTAINS_AND_BLINDS,0.5364
579155056,HOME & INDUSTRY,HOME&DECOR,MLC-HOME_LIGHTING_SUPPLIES,0.7128
566503330,CE,ELECTRONICS,MLC-DEEP_FRYERS,0.4314
581748724,HOME & INDUSTRY,SECURITY,MLC-SURVEILLANCE_CAMERAS,0.866
913636939,HOME & INDUSTRY,HOME&DECOR,MLC-WALL_AND_CEILING_LIGHTS,0.6586
553022701,OTHERS,PET PRODUCTS,MLC-CAT_SCRATCHERS,0.7658
629821159,CE,COMPUTERS,MLC-HEADPHONES,0.1473999999999999
639101111,HOME & INDUSTRY,INDUSTRY,MLC-RESPIRATORS,0.7994
631171585,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-ELECTRIC_CHAINSAWS,0.7136
568189588,CE,ELECTRONICS,MLC-TV_AND_MONITOR_MOUNTS,0.4162
603750345,CPG,FOODS,MLC-COFFEE_CAPSULES,0.0804
916360021,CE,MOBILE,MLC-CELLPHONES,0.9168
570058958,CE,COMPUTERS,MLC-PRINTERS,0.5329999999999999
900438768,CE,COMPUTERS,MLC-HARD_DRIVES_AND_SSDS,0.2289999999999999
509787261,CE,ELECTRONICS,MLC-AIR_CONDITIONERS,0.9666
519453734,HOME & INDUSTRY,HOME&DECOR,MLC-BEDS,0.1328
927289884,CE,ELECTRONICS,MLC-GAME_CONSOLES,0.5802
597387625,CE,ELECTRONICS,MLC-IRONS,0.8668
484826952,HOME & INDUSTRY,TOOLS AND CONSTRUCTION,MLC-LIGHT_METERS,0.927
452240683,CE,ELECTRONICS,MLC-REVERSE_OSMOSIS_FILTERS,0.4322
580264825,BEAUTY & HEALTH,PHARMACEUTICS,MLC-THERMOMETERS,0.8732
553058497,CE,COMPUTERS,MLC-RAM_MEMORY_MODULES,0.487
603309735,CE,MOBILE,MLC-CELLPHONES,0.4075999999999999
631076469,APP & SPORTS,FOOTWEAR,MLC-SNEAKERS,0.1018
525815702,HOME & INDUSTRY,INDUSTRY,MLC-CASH_REGISTERS,0.7978
487393901,CE,ELECTRONICS,MLC-WASHING_MACHINES,0.8958
522447860,CE,ELECTRONICS,MLC-MIXERS,0.1049999999999999
